ITSM Environment,ITSM FQDN,ITSM Operating System,Data Source,CPU Count,CPU Type,Location,Memory,OS,OS Version,Support Stage,Days Current Stage,Aquisition Date,Lifecycle Date,Apex Hostname,Apex Has Current Metrics,Apex Dashboard Url,Source Url
Test,wn000041815.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000041815,true,https://apex.optum.com/hostview?host=wn000041815,/infrared/wn000041815
Test,wn000041816.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000041816,true,https://apex.optum.com/hostview?host=wn000041816,/infrared/wn000041816
Test,wn000041817.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000041817,true,https://apex.optum.com/hostview?host=wn000041817,/infrared/wn000041817
Test,wn000041818.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000041818,true,https://apex.optum.com/hostview?host=wn000041818,/infrared/wn000041818
Test,wn000041819.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000041819,true,https://apex.optum.com/hostview?host=wn000041819,/infrared/wn000041819
Test,wn000041820.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,2,,CTC,8,windows,Microsoft 2019,Steady State,,,,wn000041820,true,https://apex.optum.com/hostview?host=wn000041820,/infrared/wn000041820
Test,wn000041821.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,CTC,16,windows,Microsoft 2019,Steady State,,,,wn000041821,true,https://apex.optum.com/hostview?host=wn000041821,/infrared/wn000041821
Production,wp000041848.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000041848,true,https://apex.optum.com/hostview?host=wp000041848,/infrared/wp000041848
Production,wp000041849.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000041849,true,https://apex.optum.com/hostview?host=wp000041849,/infrared/wp000041849
Production,wp000041850.ms.ds.uhc.com,Windows 2019 Standard,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000041850,true,https://apex.optum.com/hostview?host=wp000041850,/infrared/wp000041850
